epoch,step,train/loss_epoch,train/loss_step,train/train_acc_epoch,train/train_acc_step,train/train_loss_epoch,train/train_loss_step,train/train_precision_epoch,train/train_precision_step,train/train_recall_epoch,train/train_recall_step,val/loss,val/val_acc,val/val_loss,val/val_precision,val/val_recall
0,4,,0.3442680239677429,,0.03081359900534153,,0.3442680239677429,,0.032608695328235626,,0.0025359257124364376,,,,,
0,9,,0.08846250176429749,,0.35142821073532104,,0.08846250176429749,,0.0,,0.0,,,,,
0,14,,0.1644757091999054,,0.29355162382125854,,0.1644757091999054,,0.0,,0.0,,,,,
0,19,,0.04269249364733696,,0.45644837617874146,,0.04269249364733696,,0.0,,0.0,,,,,
0,24,,0.04023724049329758,,0.4348205626010895,,0.04023724049329758,,0.0,,0.0,,,,,
0,24,,,,,,,,,,,0.09084659069776535,0.16307012736797333,0.09084659069776535,0.0,0.0
0,24,0.2217525988817215,,0.2851528525352478,,0.2217525988817215,,0.014264917001128197,,0.020201850682497025,,,,,,
1,29,,0.044134583324193954,,0.5454162359237671,,0.044134583324193954,,0.0,,0.0,,,,,
1,34,,0.07059971243143082,,0.5731109380722046,,0.07059971243143082,,0.0,,0.0,,,,,
1,39,,0.05685395747423172,,0.639056384563446,,0.05685395747423172,,0.0,,0.0,,,,,
1,44,,0.058362625539302826,,0.675061047077179,,0.058362625539302826,,0.0,,0.0,,,,,
1,49,,0.04823540896177292,,0.691204845905304,,0.04823540896177292,,0.0,,0.0,,,,,
1,49,,,,,,,,,,,0.04686041548848152,0.6611536145210266,0.04686041548848152,0.0,0.0
1,49,0.06189652532339096,,0.5986926555633545,,0.06189652532339096,,0.0,,0.0,,,,,,
2,54,,0.021660320460796356,,0.7295501828193665,,0.021660320460796356,,0.0,,0.0,,,,,
2,59,,0.09891004860401154,,0.5977783203125,,0.09891004860401154,,0.0,,0.0,,,,,
2,64,,0.010942923836410046,,0.6659454107284546,,0.010942923836410046,,0.0,,0.0,,,,,
2,69,,0.0351821668446064,,0.7378937005996704,,0.0351821668446064,,0.0,,0.0,,,,,
